quantile,Y2020,Y2030,Y2040,Y2050,Y2060,Y2070,Y2080,Y2090,Y2100,Y2110,Y2120,Y2130,Y2140,Y2150
0.449999988079071,0.042,0.078,0.125,0.182,0.242,0.316,0.397,0.499,0.609,0.632,0.72,0.804,0.884,0.959
0.46000000834465,0.042,0.079,0.126,0.184,0.244,0.318,0.4,0.503,0.614,0.637,0.725,0.811,0.891,0.966
0.469999998807907,0.043,0.08,0.128,0.186,0.246,0.321,0.403,0.506,0.618,0.642,0.732,0.817,0.898,0.974
0.479999989271164,0.044,0.081,0.129,0.187,0.249,0.324,0.407,0.511,0.623,0.647,0.738,0.824,0.905,0.982
0.490000009536743,0.044,0.082,0.13,0.189,0.251,0.326,0.41,0.514,0.627,0.652,0.744,0.831,0.913,0.99
0.5,0.047,0.088,0.139,0.202,0.27,0.354,0.446,0.558,0.678,0.751,0.86,0.964,1.062,1.156
0.509999990463257,0.05,0.093,0.148,0.216,0.289,0.381,0.484,0.602,0.732,0.852,0.978,1.099,1.214,1.327
0.519999980926514,0.051,0.094,0.149,0.218,0.292,0.385,0.488,0.607,0.738,0.858,0.985,1.108,1.225,1.337
0.529999971389771,0.051,0.095,0.151,0.22,0.295,0.388,0.492,0.612,0.744,0.865,0.994,1.117,1.234,1.348
0.540000021457672,0.052,0.096,0.152,0.223,0.298,0.391,0.496,0.616,0.75,0.873,1.002,1.125,1.244,1.358
0.550000011920929,0.053,0.097,0.154,0.225,0.301,0.394,0.5,0.62,0.755,0.879,1.009,1.135,1.253,1.369
0.560000002384186,0.053,0.099,0.156,0.227,0.303,0.398,0.504,0.626,0.762,0.886,1.017,1.144,1.264,1.38
0.569999992847443,0.054,0.1,0.157,0.229,0.306,0.401,0.508,0.631,0.768,0.893,1.024,1.153,1.275,1.392
0.579999983310699,0.055,0.101,0.159,0.231,0.309,0.405,0.512,0.636,0.774,0.9,1.032,1.162,1.286,1.404
0.589999973773956,0.056,0.102,0.16,0.233,0.312,0.408,0.517,0.641,0.779,0.907,1.041,1.171,1.295,1.415
0.600000023841858,0.057,0.103,0.162,0.235,0.315,0.412,0.521,0.647,0.785,0.915,1.049,1.18,1.305,1.426
0.610000014305115,0.057,0.105,0.164,0.238,0.317,0.415,0.526,0.652,0.791,0.921,1.058,1.189,1.316,1.436
0.620000004768372,0.058,0.106,0.166,0.24,0.32,0.419,0.53,0.657,0.798,0.929,1.066,1.199,1.326,1.449
0.629999995231628,0.059,0.107,0.167,0.242,0.323,0.422,0.535,0.662,0.805,0.937,1.075,1.209,1.337,1.462
0.639999985694885,0.06,0.108,0.169,0.245,0.325,0.425,0.539,0.669,0.812,0.945,1.084,1.219,1.348,1.473
0.649999976158142,0.061,0.109,0.171,0.247,0.328,0.429,0.543,0.674,0.818,0.953,1.093,1.229,1.359,1.486
0.660000026226044,0.061,0.111,0.172,0.249,0.331,0.433,0.548,0.68,0.825,0.96,1.102,1.239,1.371,1.499
0.670000016689301,0.062,0.112,0.174,0.251,0.334,0.438,0.552,0.686,0.832,0.968,1.111,1.25,1.383,1.51
0.680000007152557,0.063,0.113,0.176,0.254,0.338,0.441,0.558,0.692,0.841,0.977,1.121,1.261,1.395,1.524
0.689999997615814,0.064,0.114,0.178,0.256,0.341,0.446,0.563,0.699,0.848,0.986,1.129,1.271,1.406,1.537
0.699999988079071,0.065,0.116,0.179,0.259,0.344,0.45,0.568,0.704,0.855,0.994,1.14,1.282,1.418,1.552
0.709999978542328,0.066,0.117,0.181,0.262,0.348,0.454,0.574,0.711,0.862,1.004,1.151,1.293,1.431,1.565
0.720000028610229,0.067,0.119,0.183,0.264,0.352,0.459,0.578,0.718,0.87,1.013,1.161,1.306,1.445,1.581
0.730000019073486,0.068,0.12,0.185,0.267,0.355,0.463,0.584,0.724,0.878,1.023,1.173,1.318,1.459,1.598
0.740000009536743,0.069,0.121,0.188,0.27,0.359,0.468,0.59,0.73,0.888,1.033,1.185,1.333,1.476,1.615
0.75,0.07,0.123,0.19,0.273,0.362,0.472,0.596,0.738,0.896,1.043,1.196,1.347,1.492,1.632
0.759999990463257,0.071,0.124,0.192,0.276,0.366,0.477,0.602,0.745,0.905,1.054,1.209,1.36,1.506,1.648
0.769999980926514,0.072,0.126,0.194,0.279,0.37,0.482,0.608,0.753,0.915,1.063,1.22,1.373,1.521,1.664
0.779999971389771,0.073,0.127,0.196,0.282,0.374,0.487,0.615,0.761,0.925,1.074,1.232,1.388,1.537,1.682
0.790000021457672,0.074,0.129,0.199,0.285,0.379,0.492,0.622,0.769,0.935,1.086,1.247,1.402,1.553,1.701
0.800000011920929,0.075,0.131,0.201,0.289,0.383,0.498,0.628,0.777,0.945,1.099,1.26,1.42,1.572,1.719
0.810000002384186,0.076,0.133,0.203,0.292,0.388,0.504,0.636,0.787,0.956,1.113,1.276,1.437,1.592,1.745
0.819999992847443,0.077,0.134,0.206,0.296,0.393,0.51,0.643,0.795,0.967,1.126,1.292,1.454,1.613,1.766
0.829999983310699,0.078,0.137,0.209,0.299,0.397,0.517,0.652,0.806,0.979,1.142,1.311,1.474,1.633,1.788
0.833000004291534,0.079,0.137,0.21,0.301,0.398,0.519,0.654,0.809,0.982,1.147,1.315,1.48,1.639,1.795
0.839999973773956,0.08,0.139,0.212,0.303,0.402,0.523,0.66,0.817,0.99,1.157,1.327,1.495,1.654,1.812
0.850000023841858,0.081,0.141,0.215,0.308,0.407,0.531,0.67,0.827,1.002,1.172,1.345,1.514,1.676,1.834
0.860000014305115,0.083,0.143,0.218,0.312,0.414,0.54,0.679,0.839,1.017,1.189,1.365,1.535,1.701,1.861
0.870000004768372,0.084,0.145,0.222,0.317,0.42,0.547,0.691,0.852,1.035,1.208,1.385,1.556,1.726,1.89
0.879999995231628,0.086,0.148,0.225,0.322,0.426,0.556,0.701,0.867,1.051,1.226,1.405,1.582,1.756,1.924
0.889999985694885,0.088,0.151,0.228,0.327,0.433,0.563,0.713,0.882,1.068,1.247,1.43,1.61,1.785,1.956
