quantile,Y2020,Y2030,Y2040,Y2050,Y2060,Y2070,Y2080,Y2090,Y2100,Y2110,Y2120,Y2130,Y2140,Y2150
0,-0.12,-0.15,-0.181,-0.165,-0.172,-0.175,-0.247,-0.248,-0.267,-0.212,-0.235,-0.256,-0.278,-0.302
0.00100000004749745,-0.066,-0.071,-0.073,-0.069,-0.049,-0.043,-0.033,-0.03,-0.042,-0.085,-0.087,-0.091,-0.093,-0.096
0.00499999988824129,-0.042,-0.039,-0.036,-0.025,-0.002,0.014,0.023,0.031,0.038,0.009,0.011,0.016,0.018,0.018
0.00999999977648258,-0.032,-0.026,-0.022,-0.002,0.022,0.035,0.049,0.063,0.075,0.048,0.056,0.062,0.066,0.07
0.0199999995529652,-0.022,-0.013,-0.004,0.018,0.043,0.065,0.082,0.098,0.115,0.095,0.109,0.12,0.13,0.141
0.0299999993294477,-0.016,-0.005,0.005,0.03,0.061,0.082,0.103,0.122,0.144,0.122,0.137,0.153,0.167,0.18
0.0399999991059303,-0.012,0.002,0.014,0.039,0.072,0.096,0.117,0.139,0.165,0.144,0.162,0.179,0.194,0.209
0.0500000007450581,-0.008,0.007,0.02,0.047,0.082,0.106,0.129,0.154,0.182,0.164,0.183,0.202,0.219,0.234
0.0599999986588955,-0.004,0.011,0.026,0.055,0.089,0.115,0.141,0.167,0.196,0.179,0.2,0.22,0.239,0.256
0.0700000002980232,-0.001,0.015,0.031,0.061,0.095,0.123,0.15,0.177,0.207,0.192,0.215,0.236,0.258,0.278
0.0799999982118607,0.001,0.018,0.035,0.066,0.101,0.13,0.159,0.187,0.218,0.205,0.23,0.252,0.274,0.296
0.0900000035762787,0.003,0.021,0.039,0.071,0.106,0.136,0.167,0.195,0.228,0.217,0.242,0.267,0.291,0.313
0.100000001490116,0.005,0.025,0.043,0.076,0.111,0.142,0.173,0.203,0.239,0.228,0.255,0.279,0.304,0.327
0.109999999403954,0.008,0.027,0.046,0.08,0.116,0.147,0.179,0.21,0.248,0.238,0.265,0.291,0.317,0.341
0.119999997317791,0.009,0.029,0.049,0.083,0.12,0.153,0.185,0.218,0.255,0.247,0.275,0.302,0.329,0.353
0.129999995231628,0.011,0.032,0.052,0.087,0.124,0.158,0.191,0.225,0.262,0.254,0.284,0.312,0.339,0.365
0.140000000596046,0.012,0.034,0.055,0.09,0.128,0.162,0.197,0.23,0.269,0.263,0.293,0.322,0.35,0.377
0.150000005960464,0.014,0.036,0.057,0.093,0.131,0.167,0.202,0.236,0.276,0.27,0.301,0.331,0.36,0.389
0.159999996423721,0.016,0.038,0.06,0.096,0.135,0.171,0.207,0.242,0.283,0.277,0.308,0.34,0.37,0.399
0.166999995708466,0.016,0.039,0.061,0.098,0.137,0.174,0.21,0.246,0.287,0.282,0.314,0.346,0.377,0.406
0.170000001788139,0.017,0.04,0.062,0.099,0.138,0.175,0.211,0.248,0.289,0.285,0.317,0.349,0.379,0.408
0.180000007152557,0.018,0.041,0.064,0.102,0.142,0.179,0.216,0.253,0.294,0.292,0.325,0.357,0.388,0.418
0.189999997615814,0.019,0.043,0.066,0.105,0.144,0.183,0.22,0.258,0.3,0.299,0.333,0.366,0.398,0.429
0.200000002980232,0.02,0.045,0.068,0.107,0.147,0.186,0.224,0.262,0.306,0.305,0.339,0.374,0.406,0.438
0.209999993443489,0.021,0.046,0.07,0.109,0.15,0.19,0.229,0.267,0.311,0.312,0.347,0.381,0.415,0.447
0.219999998807907,0.023,0.048,0.072,0.112,0.153,0.193,0.233,0.272,0.316,0.318,0.354,0.389,0.423,0.456
0.230000004172325,0.024,0.049,0.074,0.115,0.156,0.196,0.236,0.276,0.321,0.324,0.361,0.397,0.432,0.465
0.239999994635582,0.025,0.051,0.076,0.117,0.158,0.199,0.24,0.28,0.326,0.33,0.367,0.404,0.439,0.475
0.25,0.026,0.052,0.078,0.119,0.16,0.202,0.244,0.285,0.331,0.335,0.373,0.41,0.447,0.482
0.259999990463257,0.027,0.054,0.08,0.122,0.163,0.205,0.247,0.288,0.335,0.341,0.379,0.417,0.454,0.49
0.270000010728836,0.028,0.055,0.082,0.124,0.166,0.208,0.25,0.293,0.34,0.346,0.386,0.424,0.461,0.497
0.280000001192093,0.029,0.056,0.083,0.126,0.168,0.212,0.254,0.297,0.344,0.352,0.391,0.43,0.469,0.505
0.28999999165535,0.03,0.057,0.085,0.128,0.171,0.215,0.258,0.301,0.349,0.357,0.398,0.437,0.476,0.513
0.300000011920929,0.031,0.059,0.087,0.13,0.173,0.217,0.261,0.305,0.353,0.363,0.404,0.445,0.484,0.522
0.310000002384186,0.032,0.06,0.088,0.132,0.176,0.22,0.264,0.309,0.358,0.368,0.41,0.45,0.491,0.53
0.319999992847443,0.033,0.061,0.09,0.134,0.178,0.223,0.268,0.312,0.363,0.373,0.415,0.457,0.497,0.536
0.330000013113022,0.034,0.063,0.092,0.136,0.18,0.226,0.271,0.316,0.367,0.378,0.421,0.462,0.503,0.542
0.340000003576279,0.035,0.064,0.093,0.138,0.183,0.229,0.274,0.32,0.372,0.383,0.426,0.469,0.51,0.55
0.349999994039536,0.036,0.065,0.094,0.14,0.185,0.231,0.277,0.323,0.376,0.388,0.431,0.474,0.516,0.556
0.360000014305115,0.037,0.066,0.096,0.142,0.187,0.234,0.28,0.327,0.379,0.393,0.437,0.48,0.522,0.563
0.370000004768372,0.037,0.067,0.097,0.144,0.189,0.236,0.283,0.33,0.383,0.398,0.442,0.486,0.528,0.571
0.379999995231628,0.038,0.069,0.099,0.146,0.191,0.239,0.286,0.333,0.387,0.402,0.448,0.492,0.536,0.578
0.389999985694885,0.039,0.07,0.1,0.148,0.193,0.241,0.289,0.337,0.392,0.407,0.453,0.498,0.542,0.585
0.400000005960464,0.04,0.071,0.102,0.149,0.196,0.244,0.292,0.341,0.395,0.411,0.458,0.504,0.548,0.591
0.409999996423721,0.041,0.072,0.103,0.151,0.198,0.246,0.295,0.344,0.4,0.416,0.463,0.509,0.555,0.599
0.419999986886978,0.042,0.073,0.105,0.153,0.2,0.248,0.298,0.348,0.405,0.421,0.469,0.516,0.561,0.606
0.430000007152557,0.042,0.075,0.106,0.155,0.202,0.251,0.301,0.351,0.409,0.426,0.474,0.522,0.568,0.613
